File name: butterfly 847.jpeg, Image: butterfly, Predicted Class: sweet_pepper
File name: dog 581.jpeg, Image: dog, Predicted Class: skunk
File name: elephant 1296.jpg, Image: elephant, Predicted Class: motorcycle
File name: dog 3290.jpeg, Image: dog, Predicted Class: bee
File name: dog 4539.jpeg, Image: dog, Predicted Class: beetle
File name: cat 356.jpg, Image: cat, Predicted Class: bee
File name: cow 1060.jpeg, Image: cow, Predicted Class: motorcycle
File name: spider 1786.jpeg, Image: spider, Predicted Class: bicycle
File name: dog 3333.jpeg, Image: dog, Predicted Class: spider
File name: horse 2007.jpeg, Image: horse, Predicted Class: tiger
File name: spider 3055.jpeg, Image: spider, Predicted Class: motorcycle
File name: chicken 145.jpeg, Image: chicken, Predicted Class: leopard
File name: elephant 494.jpeg, Image: elephant, Predicted Class: cattle
File name: sheep 374.jpeg, Image: sheep, Predicted Class: otter
File name: sheep 1222.jpeg, Image: sheep, Predicted Class: mushroom
File name: dog 3668.jpeg, Image: dog, Predicted Class: lobster
File name: spider 3885.jpeg, Image: spider, Predicted Class: tiger
File name: cow 1812.jpeg, Image: cow, Predicted Class: spider
File name: spider 2465.jpeg, Image: spider, Predicted Class: spider
File name: cow 1023.jpeg, Image: cow, Predicted Class: castle
File name: cat 9.jpg, Image: cat, Predicted Class: beetle
File name: butterfly 1063.jpeg, Image: butterfly, Predicted Class: motorcycle
File name: spider 7.jpeg, Image: spider, Predicted Class: motorcycle
File name: sheep 1656.jpg, Image: sheep, Predicted Class: woman
File name: horse 2201.jpeg, Image: horse, Predicted Class: caterpillar
File name: spider 1096.jpeg, Image: spider, Predicted Class: spider
File name: elephant 323.jpeg, Image: elephant, Predicted Class: shrew
File name: squirrel 1450.jpeg, Image: squirrel, Predicted Class: wolf
File name: spider 3757.jpeg, Image: spider, Predicted Class: spider
File name: sheep 1253.jpeg, Image: sheep, Predicted Class: dinosaur
File name: squirrel 1762.jpeg, Image: squirrel, Predicted Class: bicycle
File name: sheep 368.jpeg, Image: sheep, Predicted Class: caterpillar
File name: chicken 1443.jpeg, Image: chicken, Predicted Class: shrew
File name: dog 3050.jpeg, Image: dog, Predicted Class: tank
File name: chicken 2324.jpeg, Image: chicken, Predicted Class: beetle
File name: chicken 2936.jpeg, Image: chicken, Predicted Class: butterfly
File name: dog 4469.jpeg, Image: dog, Predicted Class: motorcycle
File name: horse 1874.jpeg, Image: horse, Predicted Class: camel
File name: chicken 3039.jpeg, Image: chicken, Predicted Class: cockroach
File name: sheep 903.jpeg, Image: sheep, Predicted Class: motorcycle
File name: cat 1507.jpeg, Image: cat, Predicted Class: orchid
File name: spider 2003.jpeg, Image: spider, Predicted Class: beetle
File name: spider 3779.jpeg, Image: spider, Predicted Class: spider
File name: cat 1403.jpeg, Image: cat, Predicted Class: raccoon
File name: dog 1375.jpeg, Image: dog, Predicted Class: bear
File name: squirrel 954.jpeg, Image: squirrel, Predicted Class: motorcycle
File name: cow 1362.jpeg, Image: cow, Predicted Class: skunk
File name: cow 1216.jpeg, Image: cow, Predicted Class: orchid
File name: dog 2907.jpeg, Image: dog, Predicted Class: crab
File name: butterfly 747.jpeg, Image: butterfly, Predicted Class: butterfly
File name: cow 1170.jpeg, Image: cow, Predicted Class: possum
File name: spider 852.jpeg, Image: spider, Predicted Class: spider
File name: elephant 487.jpeg, Image: elephant, Predicted Class: lobster
File name: dog 4529.jpeg, Image: dog, Predicted Class: beetle
File name: dog 1102.jpeg, Image: dog, Predicted Class: tiger
File name: dog 3631.jpeg, Image: dog, Predicted Class: beetle
File name: chicken 2489.jpeg, Image: chicken, Predicted Class: dinosaur
File name: cow 64.jpeg, Image: cow, Predicted Class: camel
File name: sheep 177.jpeg, Image: sheep, Predicted Class: forest
File name: butterfly 274.jpeg, Image: butterfly, Predicted Class: motorcycle
File name: cat 754.jpeg, Image: cat, Predicted Class: lamp
File name: chicken 47.jpeg, Image: chicken, Predicted Class: pickup_truck
File name: spider 1380.jpeg, Image: spider, Predicted Class: spider
File name: dog 1397.jpeg, Image: dog, Predicted Class: skunk
File name: horse 389.jpeg, Image: horse, Predicted Class: motorcycle
File name: butterfly 331.jpeg, Image: butterfly, Predicted Class: bee
File name: chicken 2459.jpeg, Image: chicken, Predicted Class: butterfly
File name: dog 2501.jpeg, Image: dog, Predicted Class: possum
File name: chicken 1681.jpeg, Image: chicken, Predicted Class: tiger
